Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,13.922307,15.220562,13.474090,14.043777,14.043777,19087499
2021-11-02,14.047732,16.326889,13.901578,16.095997,16.095997,27532690
2021-11-03,16.097410,18.153025,16.073938,17.954674,17.954674,33939829
2021-11-04,17.937607,19.817738,17.414886,17.745348,17.745348,42185875
2021-11-05,17.743031,17.809742,16.425722,16.425722,16.425722,11823190
2021-11-06,16.421631,18.052429,16.372471,17.990620,17.990620,12241862
2021-11-07,18.051828,18.590664,17.741327,18.340872,18.340872,12767817
2021-11-08,18.336357,23.377121,18.185946,23.006275,23.006275,51590554
2021-11-09,23.000662,25.393282,22.667416,22.879992,22.879992,40058090
2021-11-10,22.838511,26.028547,22.398952,22.976624,22.976624,43404345
2021-11-11,22.976759,25.315710,22.918045,25.304657,25.304657,33530179
2021-11-12,25.334103,27.088469,23.323320,23.337406,23.337406,41643455
2021-11-13,23.314650,23.436207,21.790874,22.669228,22.669228,16461672
2021-11-14,22.651476,22.651476,19.734947,20.417784,20.417784,20353952
2021-11-15,20.431761,21.596148,19.255451,19.554701,19.554701,18177060
2021-11-16,19.550938,39.427673,17.239145,17.308834,17.308834,33704797
2021-11-17,17.295584,21.664927,16.399717,17.572227,17.572227,21536034
2021-11-18,17.577637,18.386091,16.457636,16.613462,16.613462,22897643
2021-11-19,16.614674,20.249821,16.189419,19.963490,19.963490,33414139
2021-11-20,19.945101,20.427078,19.073355,19.119299,19.119299,14277964
2021-11-21,19.106092,19.476295,18.506407,18.506407,18.506407,10007223
2021-11-22,18.506767,18.528805,17.413078,17.564234,17.564234,19421695
2021-11-23,17.557457,18.302858,17.277344,17.887342,17.887342,13609996
2021-11-24,17.882620,19.193731,17.882620,18.176018,18.176018,15751926
2021-11-25,18.911173,19.433846,18.412045,18.415920,18.415920,8578880
2021-11-26,18.875048,19.162621,17.527899,17.543730,17.543730,10258263
2021-11-27,17.538656,18.134068,17.509857,17.757898,17.757898,11303743
2021-11-28,17.762810,17.979769,17.173889,17.914936,17.914936,12446283
2021-11-29,17.915545,18.301001,17.395962,18.207281,18.207281,9098659
2021-11-30,18.212015,18.548985,17.999882,17.999882,17.999882,8758375
2021-12-01,17.998329,18.272642,17.871044,17.921017,17.921017,8431328
2021-12-02,17.897940,18.024494,17.390877,17.390877,17.390877,8920766
2021-12-03,17.383772,18.057722,16.803490,16.819981,16.819981,10152950
2021-12-04,16.826658,16.878700,15.413285,15.674294,15.674294,11602222
2021-12-05,15.697451,15.765385,14.955017,15.155596,15.155596,6720952
2021-12-06,15.155808,18.389896,14.139992,18.312641,18.312641,38268588
2021-12-07,18.311178,19.490883,17.900185,19.092621,19.092621,17730144
2021-12-08,19.092876,21.449268,19.051853,21.234970,21.234970,23806593
2021-12-09,21.209042,23.489948,20.719013,21.017483,21.017483,27237005
2021-12-10,21.045727,22.039928,18.859741,19.606487,19.606487,35414083
2021-12-11,19.606304,19.999149,19.270641,19.547642,19.547642,6862736
2021-12-12,19.545839,19.558252,17.736935,18.575338,18.575338,16422563
2021-12-13,18.581030,18.590221,17.611034,17.611034,17.611034,8642844
2021-12-14,17.613663,17.934986,17.082245,17.307720,17.307720,7145444
2021-12-15,17.305735,17.508823,16.616333,16.913996,16.913996,6138525
2021-12-16,17.017473,17.326385,16.288210,16.310793,16.310793,5609024
2021-12-17,16.425573,16.500774,15.171279,15.387481,15.387481,7197107
2021-12-18,15.393997,15.541951,13.412591,14.018813,14.018813,22416789
2021-12-19,14.016509,14.661217,13.938579,14.418696,14.418696,6403192
2021-12-20,14.414445,14.713016,13.893375,14.009933,14.009933,6470905
2021-12-21,14.011240,18.459564,13.812577,17.305084,17.305084,31389164
2021-12-22,17.308083,18.742397,17.078926,18.027187,18.027187,24955534
2021-12-23,18.026590,20.684362,17.943102,20.169283,20.169283,20228774
2021-12-24,20.170177,22.696711,20.058863,21.216930,21.216930,18926082
2021-12-25,21.217751,21.992191,20.096640,20.408566,20.408566,9777351
2021-12-26,20.408852,20.731567,20.061760,20.495129,20.495129,7682289
2021-12-27,20.492678,25.013239,20.281580,23.852205,23.852205,32136391
2021-12-28,23.681011,25.405329,22.018257,22.038227,22.038227,31513177
2021-12-29,22.172655,27.777470,21.662664,26.446411,26.446411,49767739
2021-12-30,26.198263,33.314869,25.667349,29.969868,29.969868,141509770
2021-12-31,30.006155,41.830296,29.687807,39.045494,39.045494,125855588
2022-01-01,39.042461,40.180840,34.980705,36.949608,36.949608,62309058
2022-01-02,36.946327,36.946327,34.996204,35.093643,35.093643,24286041
2022-01-03,35.094273,35.154297,32.238243,32.924335,32.924335,24525290
2022-01-04,32.932972,40.421509,32.694702,37.716343,37.716343,77559125
2022-01-05,37.725307,38.495605,34.037868,34.816643,34.816643,33762872
2022-01-06,34.836769,35.718613,32.757175,34.425491,34.425491,36026318
2022-01-07,34.425610,38.876556,34.255741,38.199528,38.199528,65295616
2022-01-08,38.226898,41.372074,37.403961,38.148891,38.148891,52420004
2022-01-09,38.153191,38.271183,35.120228,36.200478,36.200478,30475785
2022-01-10,36.200157,36.661129,34.545963,34.676029,34.676029,23479904
2022-01-11,34.682346,35.875286,33.989590,34.949108,34.949108,22116306
2022-01-12,34.958794,42.654442,34.958794,41.091042,41.091042,53661029
2022-01-13,41.091454,41.318504,36.225048,37.674511,37.674511,55917349
2022-01-14,37.679794,39.119923,37.479691,38.465374,38.465374,24808972
2022-01-15,38.467800,38.503418,36.644402,36.929684,36.929684,13907997
2022-01-16,36.926163,37.288540,36.020012,36.987438,36.987438,12710230
