fips,m_w_ins,m_wo_ins,f_w_ins,f_wo_ins,all_w_ins,all_wo_ins
15003,429201,26111,457423,20975,886624,47086
15005,32,4,35,4,67,8
15007,31135,3317,32223,2228,63358,5545
15009,72806,6977,74047,5505,146853,12482
19001,3329,296,3429,233,6758,529
19003,1787,128,1782,125,3569,253
19005,6267,742,6077,667,12344,1409
19007,5533,706,5627,672,11160,1378
19009,2562,254,2676,227,5238,481
19011,12198,616,12243,509,24441,1125
19013,59036,5024,62677,4475,121713,9499
19015,11723,1177,12144,725,23867,1902
19017,11386,568,11904,318,23290,886
19019,9284,996,9578,887,18862,1883
19021,9022,1388,8938,886,17960,2274
19023,6876,437,6901,491,13777,928
19025,4349,298,4471,263,8820,561
19027,9502,392,9945,427,19447,819
19029,6042,505,6474,308,12516,813
19031,8437,466,8851,379,17288,845
19033,19432,1546,20426,1418,39858,2964
19035,5309,509,5252,390,10561,899
19037,5706,396,5630,384,11336,780
19039,3958,680,4065,439,8023,1119
19041,7388,616,7707,544,15095,1160
19043,8115,684,8114,656,16229,1340
19045,21990,1640,22956,1284,44946,2924
19047,7484,1129,7631,807,15115,1936
19049,34604,2002,36040,1736,70644,3738
19051,3242,1023,3150,1212,6392,2235
19053,3601,468,3449,622,7050,1090
19055,8234,452,8359,297,16593,749
19057,17543,1763,19146,1255,36689,3018
19059,7864,524,7901,469,15765,993
19061,44017,2826,45546,2267,89563,5093
19063,4217,614,4425,389,8642,1003
19065,9182,997,9220,835,18402,1832
19067,7168,721,7339,613,14507,1334
19069,4792,399,4761,384,9553,783
19071,3162,317,3270,234,6432,551
19073,4174,252,4412,221,8586,473
19075,5728,300,6002,225,11730,525
19077,4793,474,4992,343,9785,817
19079,6519,842,7204,528,13723,1370
19081,5254,289,5137,260,10391,549
19083,7755,617,7942,535,15697,1152
19085,6389,699,6658,472,13047,1171
19087,8589,702,8945,648,17534,1350
19089,4305,326,4313,376,8618,702
19091,4394,301,4616,246,9010,547
19093,3226,300,3149,267,6375,567
19095,7475,521,7678,421,15153,942
19097,8854,774,8959,794,17813,1568
19099,15903,1312,16644,1164,32547,2476
19101,7808,1132,7504,729,15312,1861
19103,62291,5726,65282,4449,127573,10175
19105,8896,559,9288,493,18184,1052
19107,4763,393,4784,228,9547,621
