fips,age_adjusted_mr,lower_95_ci_for_mr,upper_95_ci_for_mr,avg_deaths_per_year,recent_mr_trend,recent_5-year_mr-trend,lower_95_ci_mr-trend,upper_95_ci_mr-trend
01043,169.8 ,158.8, 181.3,188,falling,-0.7 ,-1.1, -0.4
01101,168.6 ,161.4, 175.9,435,falling,-1.4 ,-1.6, -1.2
01019,167.7 ,149.9, 187.4,70,stable,-0.7 ,-1.3, 0.0
01031,163.3 ,149.5, 178,107,falling,-1.1 ,-1.5, -0.7
01049,163.2 ,151.4, 175.7,148,stable,1.1 ,-1.5, 3.8
01037,163.2 ,136.1, 195,29,falling,-1.2 ,-1.9, -0.4
01069,161.8 ,152.2, 171.9,220,stable,-6.6 ,-14.6, 2.1
01001,161.4 ,147.8, 176.1,105,falling,-1.8 ,-2.4, -1.2
01133,160.2 ,142.1, 180.3,59,falling,-1.2 ,-1.7, -0.6
01013,159.8 ,139.1, 183.1,46,falling,-0.8 ,-1.4, -0.3
01065,159.6 ,135.3, 187.4,33,falling,-1.2 ,-2.2, -0.2
01077,159.3 ,149.6, 169.5,211,falling,-3.0 ,-5.0, -0.9
01003,158.2 ,151.9, 164.9,486,falling,-1.2 ,-1.4, -1.0
01125,156.3 ,148.6, 164.2,328,falling,-1.5 ,-1.8, -1.1
01089,152.9 ,147.6, 158.4,646,falling,-1.7 ,-2.1, -1.4
01063,152 ,122.2, 188,20,falling,-1.5 ,-2.4, -0.6
01023,147.8 ,125, 174.2,32,falling,-2.0 ,-2.7, -1.3
01083,147 ,136.9, 157.6,165,falling,-2.5 ,-3.5, -1.5
01029,146.2 ,123.9, 171.7,32,falling,-1.4 ,-2.3, -0.4
01107,144.7 ,125.5, 166.5,42,falling,-3.6 ,-5.2, -1.9
01117,128.3 ,121.8, 135,311,falling,-1.5 ,-1.9, -1.0
05000,174.2 ,172.3, 176.1,6566,falling,-2.4 ,-3.1, -1.6
00000,152.4 ,152.3, 152.6,598381,falling,-2.1 ,-2.3, -1.8
05095,249.5 ,208.1, 298,28,stable,-0.3 ,-1.1, 0.5
05021,229.5 ,202.3, 259.8,53,stable,-0.1 ,-0.6, 0.5
05013,228.5 ,182, 284.9,18,stable,-0.3 ,-1.4, 0.7
05037,224.8 ,197.1, 255.6,50,falling,-1.0 ,-1.8, -0.2
05111,222 ,199.1, 247.1,71,stable,-0.4 ,-0.9, 0.1
05103,220.9 ,198.6, 245.3,77,stable,-0.2 ,-0.8, 0.4
05035,218.1 ,200.2, 237.1,114,falling,-0.7 ,-1.3, -0.2
05017,213 ,181.7, 249,35,stable,-0.1 ,-0.9, 0.6
05121,212.2 ,187.1, 240.1,55,stable,-0.1 ,-0.8, 0.6
05139,211.8 ,194.1, 230.8,110,falling,-0.6 ,-1.0, -0.2
05075,211.1 ,186.1, 239,52,stable,-0.1 ,-0.7, 0.5
05003,208.6 ,185.3, 234.3,61,falling,-0.7 ,-1.3, -0.1
05067,208 ,181.8, 237.2,47,stable,0.2 ,-0.5, 1.0
05093,206.9 ,188.9, 226.3,101,falling,-0.7 ,-1.1, -0.2
05001,206.3 ,181.4, 234,52,falling,-0.7 ,-1.3, -0.1
05135,204.5 ,181.6, 230.2,63,stable,0.0 ,-0.6, 0.6
05039,203.2 ,166.2, 247.2,23,stable,-0.8 ,-1.7, 0.1
05147,201.2 ,163.8, 246.1,21,stable,-0.8 ,-1.8, 0.2
05077,200.5 ,166.4, 240.2,25,falling,-1.0 ,-1.7, -0.4
05099,198.8 ,164.5, 239,25,falling,-1.1 ,-1.7, -0.4
05113,197.8 ,176.2, 221.9,64,falling,-0.6 ,-1.2, -0.1
05069,196.3 ,183.3, 210.2,175,falling,-1.0 ,-1.3, -0.7
05097,195.1 ,162.5, 233.6,31,stable,0.1 ,-0.8, 1.0
05025,193.3 ,158.6, 234.3,23,falling,-1.5 ,-2.7, -0.3
05049,192.9 ,165.7, 224.2,41,stable,-0.2 ,-1.1, 0.7
05091,192.3 ,175.8, 210.1,104,falling,-0.6 ,-1.1, -0.1
05107,192.2 ,167.7, 219.4,48,falling,-1.3 ,-1.9, -0.7
05011,192.1 ,161.4, 227.5,29,stable,-0.6 ,-1.4, 0.3
05079,190.7 ,161.3, 224.2,30,stable,0.0 ,-0.6, 0.7
05071,189.8 ,168.8, 212.8,62,stable,-0.3 ,-0.9, 0.4
05127,189.5 ,159.6, 224.1,30,stable,-0.9 ,-1.8, 0.1
05085,189.4 ,175.5, 204,144,falling,-0.8 ,-1.2, -0.3
05005,187.3 ,173, 202.7,157,falling,-0.7 ,-1.0, -0.4
05055,185.8 ,169.8, 203,101,stable,-0.4 ,-1.0, 0.2
05087,185 ,159.6, 213.6,40,stable,-0.6 ,-1.2, 0.1
05043,184.6 ,160.4, 211.8,44,falling,-0.7 ,-1.3, -0.2
05053,183.5 ,160, 209.8,45,stable,-0.3 ,-0.9, 0.4
05047,183.2 ,160.1, 209,47,stable,-0.7 ,-1.4, 0.0
05105,181.4 ,151.9, 215.7,28,stable,-0.2 ,-1.0, 0.6
05089,178.6 ,156.2, 204,55,falling,-0.7 ,-1.3, -0.2
05059,178.4 ,161.3, 196.9,83,falling,-0.7 ,-1.2, -0.2
05145,178.1 ,166.1, 190.7,170,falling,-1.1 ,-1.4, -0.8
05033,178 ,164.8, 192,139,falling,-1.1 ,-1.4, -0.7
05023,177.8 ,160.7, 196.8,85,stable,-0.3 ,-0.8, 0.2
05109,176.7 ,148.3, 209.6,28,stable,-0.4 ,-1.4, 0.6
05083,175.9 ,155.6, 198.5,56,falling,-0.8 ,-1.3, -0.3
05027,175.5 ,154.5, 198.7,53,falling,-0.9 ,-1.5, -0.3
05129,174.5 ,144.4, 210.6,25,falling,-0.8 ,-1.6, -0.1
05149,174.4 ,153.2, 197.9,50,falling,-1.2 ,-1.8, -0.7
05019,174.1 ,151.9, 198.9,46,stable,-0.6 ,-1.2, 0.0
05009,171.7 ,156.3, 188.4,95,falling,-0.8 ,-1.2, -0.3
05029,170.9 ,150.3, 193.8,52,falling,-1.0 ,-1.6, -0.3
05061,170.4 ,144.4, 200.2,31,falling,-4.8 ,-8.3, -1.3
