fips,age_adjusted_ir,lower_95_ci_for_ir,upper_95_ci_for_ir,avg_annual_incidences,recent_trend,recent_5-year_ir-trend,lower_95_ci_for_ir-trend,upper_95_ci_for_ir-trend
05043,515.9 ,473.8, 561,117,stable,0.7 ,-0.6, 2.0
05141,515.1 ,475, 558.1,144,rising,1.3 ,0.2, 2.4
05019,512.3 ,472.6, 554.5,133,rising,1.6 ,0.4, 2.8
05053,510.3 ,469.4, 554,121,stable,0.3 ,-0.8, 1.4
05023,510.3 ,477.8, 544.7,216,stable,3.4 ,-1.0, 8.1
05145,509.9 ,489.1, 531.4,471,stable,0.0 ,-0.6, 0.5
05003,509.1 ,471.5, 549.1,145,stable,0.8 ,-0.5, 2.2
05041,506.2 ,456, 560.7,81,stable,1.5 ,-0.4, 3.5
05135,505.6 ,465.7, 548.4,141,stable,0.8 ,-0.5, 2.1
05011,502.7 ,451.5, 558.5,74,rising,1.8 ,0.2, 3.4
05013,500.4 ,428.8, 581.9,38,stable,1.7 ,-1.2, 4.7
05129,494.8 ,437.4, 558.6,63,stable,1.2 ,-0.1, 2.5
05139,494.8 ,467.2, 523.7,256,stable,0.7 ,-0.2, 1.7
05045,493.5 ,475.4, 512.1,585,stable,0.1 ,-0.5, 0.7
05051,491.9 ,475.3, 509.1,740,stable,0.0 ,-0.5, 0.5
05063,488.4 ,459.9, 518.4,230,stable,0.3 ,-0.4, 1.0
05031,488.4 ,469.8, 507.6,535,stable,-0.9 ,-3.2, 1.4
05055,488.4 ,461.7, 516.3,258,rising,2.7 ,1.6, 3.7
05125,488 ,471.8, 504.6,720,stable,-0.2 ,-0.6, 0.2
05105,486.7 ,435.5, 542.8,71,stable,-0.5 ,-1.9, 1.0
05119,484.9 ,475.6, 494.4,2181,falling,-0.4 ,-0.6, -0.1
05039,483.6 ,423.7, 550.4,53,stable,0.2 ,-1.3, 1.7
05093,483.4 ,455.3, 512.8,233,stable,0.8 ,-0.1, 1.6
05067,481.3 ,440.5, 525,108,stable,-0.3 ,-1.6, 1.0
05109,479.8 ,429.2, 535.1,71,stable,0.2 ,-1.3, 1.7
05077,478.8 ,425.3, 537.7,61,stable,1.3 ,-0.1, 2.9
05005,478.1 ,453.8, 503.6,371,falling,-1.1 ,-1.6, -0.7
05047,477.7 ,438, 520.3,114,stable,0.2 ,-1.2, 1.5
05009,477.5 ,450.5, 505.7,253,stable,0.0 ,-0.8, 0.8
05059,476.8 ,447.7, 507.3,214,rising,6.2 ,0.3, 12.5
05029,474.2 ,438.1, 512.8,136,stable,7.3 ,-2.3, 17.8
05115,468.8 ,446.3, 492.1,341,stable,0.0 ,-0.8, 0.8
05117,467.3 ,413.4, 527.2,61,stable,-0.1 ,-1.5, 1.3
05131,467 ,451.2, 483.1,695,stable,0.4 ,-0.1, 1.0
05083,464.5 ,429.7, 501.6,141,stable,-0.3 ,-1.2, 0.7
05107,464.3 ,424.9, 506.5,113,stable,0.9 ,-0.2, 2.0
05033,461.1 ,439.3, 483.7,353,rising,0.7 ,0.2, 1.3
05017,460.4 ,412.2, 513.1,73,stable,1.3 ,-0.1, 2.7
05071,457.6 ,424.1, 493.2,145,stable,0.7 ,-0.2, 1.7
05143,456.5 ,443.4, 469.7,965,stable,-2.6 ,-8.9, 4.1
05081,453.2 ,407.8, 502.7,80,stable,-0.1 ,-1.6, 1.4
05035,452.6 ,426.8, 479.6,242,rising,1.3 ,0.1, 2.4
05015,448.1 ,418.4, 479.7,191,rising,1.0 ,0.1, 1.9
05089,448.1 ,410.3, 489.1,133,stable,-0.4 ,-1.5, 0.8
05099,447.9 ,393.5, 508.4,54,stable,0.2 ,-1.2, 1.5
05149,447.6 ,412.1, 485.4,123,stable,-0.4 ,-1.6, 0.7
05087,446.5 ,406, 490.2,96,stable,0.0 ,-1.4, 1.5
05113,443.4 ,408.9, 480.4,135,stable,-0.2 ,-1.3, 0.9
05007,436.4 ,425.2, 447.8,1172,stable,0.5 ,-0.1, 1.1
05097,433.7 ,383.1, 489.9,65,stable,-0.1 ,-1.9, 1.7
05137,432.1 ,389.6, 478.6,92,stable,-0.2 ,-1.1, 0.6
05049,430.7 ,388, 477.5,88,stable,-0.3 ,-1.9, 1.3
05127,427.5 ,379.9, 479.9,63,stable,0.8 ,-0.4, 2.0
05091,426.1 ,401, 452.4,226,stable,-0.6 ,-1.4, 0.2
05123,417.1 ,385.1, 451.1,132,stable,3.3 ,-1.0, 7.8
05057,401.6 ,368, 437.7,113,stable,-1.2 ,-2.4, 0.1
05027,400.9 ,367.3, 436.9,113,stable,-0.4 ,-1.6, 0.9
05079,400.4 ,357.1, 447.8,64,stable,0.3 ,-1.6, 2.1
05061,396.6 ,353.5, 443.7,66,falling,-1.4 ,-2.5, -0.3
05065,394.5 ,356.1, 436.5,89,falling,-1.2 ,-1.9, -0.5
05073,380.2 ,328, 439.6,42,stable,-0.4 ,-2.1, 1.4
05101,359.6 ,312.1, 413.4,48,stable,-0.6 ,-2.3, 1.2
05133,349.4 ,311.9, 390.2,65,stable,-0.8 ,-2.3, 0.6
04000,385.7 ,383.8, 387.6,32375,falling,-0.9 ,-1.0, -0.7
